servicio;llamada
Aplazamientos;True
Apoderamietno para personas físicas;False
Censos y garantías;False
Certificado electrónico FNMT para personas físicas;False
Declaraciones informativas (modelo 180 184 190 720...);True
Embargos;True
Garantías y facilidades de pago;False
Impuesto de la Electricidad (modelo 560);True
Impuesto sobre la Renta de No Residentes;True
Impuesto sobre Sociedades;True
Información comercio exterior (aduanas);True
Información general de Impuestos Especiales (hidrocarburos alcohol tabaco etc...);True
Información medioambientales (plástico fluorados valor producción etc...);True
INTRASTAT;True
IRPF - (No se confeccionan declaraciones de Renta);True
IVA;True
Marcas fiscales;False
Matriculación de vehículos;True
Módulos;True
Obtención Número de Referencia;False
Pagar y consultar deudas;True
Presentación de documentos en registro;False
Recogida de notificaciones;False
Recursos Recaudación;True
Registro en Cl@ve;False